"Data Source","World Development Indicators",

"Last Updated Date","2015-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Colombia","COL","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","4.0874","4.55222","5.14824","5.55934","6.11527","7.03322","7.605","8.67389","8.99589","9.21182","9.03696","10.30829","10.5882","10.93215","11.33539","11.46851","12.05651","12.45759","13.11825","13.69261","14.18059","14.96232","15.66054","15.85738","16.38447","16.31238","17.4686","20.55891","23.05862","22.7187004089355","23.916130065918","24.7894706726074","24.8742294311523","","27.4556198120117","29.9111995697021","31.8671607971191","32.9635391235352","35.3691596984863","36.9574699401855","38.9917488098145","42.7413215637207","45.0190315246582","48.3262786865234","","",
"Comoros","COM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.67463","","0.59335","0.59294","","","0.82459","","","1.34082996845245","1.41838002204895","","","2.98813009262085","","","","4.21070003509521","","6.33197021484375","6.34690999984741","8.95119953155518","9.8557300567627","9.96088027954102","","",
"Cabo Verde","CPV","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.73099005222321","1.88196003437042","1.60763001441956","3.87480998039246","4.54182004928589","5.98367977142334","7.43981981277466","8.42479991912842","9.59665012359619","11.9571895599365","15.10608959198","17.9768905639648","20.6205997467041","20.6095504760742","22.8453598022461","","",
"Costa Rica","CRI","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","8.71375","9.33278","9.89918","10.92309","","","","","20.76833","20.87538","20.02298","20.54154","20.07776","19.7909","20.17772","21.44414","22.55879","24.4926","24.52367","26.14303","26.39949","28.46729","30.95135","","","","","","","","","","","","25.6391201019287","","","","","","","44.4502487182617","46.7409591674805","47.5956001281738","","",
"Caribbean small states","CSS","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","4.61826992034912","4.60043001174927","4.85759019851685","5.0977201461792","5.20285987854004","5.47599983215332","6.14365005493164","6.36064004898071","6.32675981521606","6.26385021209717","6.14268016815186","6.08503007888794","6.23021984100342","5.79327011108398","5.80058002471924","5.99105978012085","6.20082998275757","6.4624400138855","6.70675992965698","7.03010988235474","7.56737995147705","8.49680042266846","8.75259971618652","9.07868003845215","9.48822021484375","9.68805980682373","10.1603698730469","10.6177396774292","10.6793298721313","10.7581396102905","13.2563896179199","14.2822999954224","15.3144598007202","16.2759399414063","17.57253074646","17.0738906860352","17.2149105072021","18.455810546875","19.9900894165039","20.471809387207","21.8479309082031","21.6976795196533","23.0621299743652","22.4186706542969","","",
"Cuba","CUB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","3.71017","4.98057","6.32578","6.99993","8.48013","10.28606","13.5261","15.65817","16.40129","16.94998","16.17417","16.10987","15.7408","16.7911","18.03814","19.88915","21.91708","22.62587","21.73595","21.09921","21.13859","19.68836","17.69879","16.27442","13.71076","12.83268","12.76418","13.02417","20.4118995666504","22.0429191589355","25.1431102752686","26.8786792755127","32.5865516662598","53.5118713378906","61.8508911132813","86.1853790283203","105.78392791748","117.891441345215","114.784027099609","95.0022811889648","80.2958526611328","62.451301574707","47.7711906433105","","",
"Curacao","CUW","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2440700531006","","",
"Cayman Islands","CYM","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","1.30066","1.46038","1.59918","1.42483","","","","1.71267","2.19646","2.24613","2.86834","3.02886","2.80085","3.40533","3.96423","4.83485","5.42948","6.7551","7.93447","9.02724","10.12467","9.24698","14.07258","15.02813","17.01657","19.17956","20.9354","","21.0324192047119","19.5623207092285","21.6125202178955","25.1022891998291","31.9636096954346","35.8636894226074","33.2208213806152","33.4199104309082","36.1738090515137","42.6180000305176","52.0038909912109","48.311580657959","46.5397300720215","45.8635902404785","","","",
"Czech Republic","CZE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","8.97456","8.48014","8.57023","9.29871","10.29098","11.48274","13.11736","14.59705","15.33644","16.35914","17.17649","17.52177","17.44106","16.84662","16.4573","16.19277","16.39002","16.35163","16.16396","16.05048","16.03141","14.63799","14.51548","19.60312","20.78567","21.66652","23.44813","23.88066","25.5630302429199","28.4269905090332","30.077880859375","34.6098098754883","37.3064804077148","44.2070617675781","48.9087715148926","50.6470108032227","54.489559173584","58.0534515380859","60.6825981140137","63.2122192382813","64.5836410522461","64.1733779907227","63.0830116271973","","",
